vgs	Id(M1)
3.270000000000002e-01	1.440453e-07
3.280000000000002e-01	1.476004e-07
3.290000000000002e-01	1.512406e-07
3.300000000000002e-01	1.549676e-07
3.310000000000002e-01	1.587835e-07
3.320000000000002e-01	1.626904e-07
3.330000000000002e-01	1.666903e-07
3.340000000000002e-01	1.707854e-07
3.350000000000002e-01	1.749779e-07
3.360000000000002e-01	1.792700e-07
3.370000000000002e-01	1.836640e-07
3.380000000000002e-01	1.881621e-07
3.390000000000002e-01	1.927669e-07
3.400000000000002e-01	1.974807e-07
3.410000000000002e-01	2.023059e-07
3.420000000000002e-01	2.072453e-07
3.430000000000002e-01	2.123012e-07
3.440000000000003e-01	2.174765e-07
3.450000000000003e-01	2.227737e-07
3.460000000000003e-01	2.281957e-07
3.470000000000003e-01	2.337452e-07
3.480000000000003e-01	2.394251e-07
3.490000000000003e-01	2.452385e-07
3.500000000000003e-01	2.511882e-07
3.510000000000003e-01	2.572773e-07
3.520000000000003e-01	2.635090e-07
3.530000000000003e-01	2.698864e-07
3.540000000000003e-01	2.764128e-07
3.550000000000003e-01	2.830916e-07
3.560000000000003e-01	2.899260e-07
3.570000000000003e-01	2.969196e-07
3.580000000000003e-01	3.040758e-07
3.590000000000003e-01	3.113983e-07
3.600000000000003e-01	3.188907e-07
3.610000000000003e-01	3.265568e-07
3.620000000000003e-01	3.344003e-07
3.630000000000003e-01	3.424252e-07
3.640000000000003e-01	3.506354e-07
3.650000000000003e-01	3.590349e-07
3.660000000000003e-01	3.676279e-07
3.670000000000003e-01	3.764185e-07
3.680000000000003e-01	3.854109e-07
3.690000000000003e-01	3.946097e-07
3.700000000000003e-01	4.040190e-07
3.710000000000003e-01	4.136436e-07
3.720000000000003e-01	4.234879e-07
3.730000000000003e-01	4.335566e-07
3.740000000000003e-01	4.438544e-07
3.750000000000003e-01	4.543863e-07
3.760000000000003e-01	4.651571e-07
3.770000000000003e-01	4.761718e-07
3.780000000000003e-01	4.874356e-07
3.790000000000003e-01	4.989535e-07
3.800000000000003e-01	5.107308e-07
3.810000000000003e-01	5.227730e-07
3.820000000000003e-01	5.350854e-07
3.830000000000003e-01	5.476736e-07
3.840000000000003e-01	5.605432e-07
3.850000000000003e-01	5.736999e-07
3.860000000000003e-01	5.871494e-07
3.870000000000003e-01	6.008977e-07
3.880000000000003e-01	6.149508e-07
3.890000000000003e-01	6.293147e-07
3.900000000000003e-01	6.439955e-07
3.910000000000003e-01	6.589995e-07
3.920000000000003e-01	6.743331e-07
3.930000000000003e-01	6.900027e-07
3.940000000000003e-01	7.060146e-07
3.950000000000003e-01	7.223757e-07
3.960000000000003e-01	7.390925e-07
3.970000000000003e-01	7.561719e-07
3.980000000000003e-01	7.736207e-07
3.990000000000003e-01	7.914459e-07
4.000000000000003e-01	8.096546e-07
4.010000000000003e-01	8.282537e-07
4.020000000000003e-01	8.472507e-07
4.030000000000003e-01	8.666528e-07
4.040000000000003e-01	8.864673e-07
4.050000000000003e-01	9.067018e-07
4.060000000000003e-01	9.273638e-07
4.070000000000003e-01	9.484610e-07
4.080000000000003e-01	9.700011e-07
4.090000000000003e-01	9.919919e-07
4.100000000000003e-01	1.014441e-06
4.110000000000003e-01	1.037357e-06
4.120000000000003e-01	1.060748e-06
4.130000000000003e-01	1.084621e-06
4.140000000000003e-01	1.108985e-06
4.150000000000003e-01	1.133848e-06
4.160000000000003e-01	1.159219e-06
4.170000000000003e-01	1.185105e-06
4.180000000000003e-01	1.211516e-06
4.190000000000003e-01	1.238460e-06
4.200000000000003e-01	1.265945e-06
4.210000000000003e-01	1.293980e-06
4.220000000000003e-01	1.322574e-06
4.230000000000003e-01	1.351736e-06
4.240000000000003e-01	1.381474e-06
4.250000000000003e-01	1.411797e-06
4.260000000000003e-01	1.442715e-06
4.270000000000003e-01	1.474236e-06
4.280000000000003e-01	1.506369e-06
4.290000000000003e-01	1.539124e-06
4.300000000000003e-01	1.572508e-06
4.310000000000003e-01	1.606533e-06
4.320000000000003e-01	1.641206e-06
4.330000000000003e-01	1.676537e-06
4.340000000000003e-01	1.712535e-06
4.350000000000003e-01	1.749210e-06
4.360000000000003e-01	1.786571e-06
4.370000000000003e-01	1.824626e-06
4.380000000000003e-01	1.863386e-06
4.390000000000003e-01	1.902860e-06
4.400000000000003e-01	1.943057e-06
4.410000000000003e-01	1.983986e-06
4.420000000000003e-01	2.025657e-06
4.430000000000003e-01	2.068079e-06
4.440000000000003e-01	2.111262e-06
4.450000000000003e-01	2.155215e-06
4.460000000000003e-01	2.199947e-06
4.470000000000003e-01	2.245468e-06
4.480000000000003e-01	2.291787e-06
4.490000000000003e-01	2.338913e-06
4.500000000000003e-01	2.386855e-06
4.510000000000003e-01	2.435624e-06
4.520000000000003e-01	2.485228e-06
4.530000000000003e-01	2.535676e-06
4.540000000000003e-01	2.586977e-06
