time	V(out)
1.388526642809002e-06	8.725522e-03
1.389526642809002e-06	8.634081e-03
1.390526642809002e-06	8.544369e-03
1.391526642809002e-06	8.454149e-03
1.392526642809002e-06	8.361287e-03
1.393526642809002e-06	8.263791e-03
1.394526642809002e-06	8.159860e-03
1.395526642809003e-06	8.047945e-03
1.397526642809003e-06	7.795513e-03
1.400526642809003e-06	7.337239e-03
1.402526642809003e-06	6.980444e-03
1.403526642809003e-06	6.788868e-03
1.404526642809003e-06	6.589954e-03
1.405526642809003e-06	6.384925e-03
1.406526642809003e-06	6.175051e-03
1.408526642809004e-06	5.745850e-03
1.410526642809004e-06	5.312046e-03
1.412526642809004e-06	4.882164e-03
1.414526642809004e-06	4.463209e-03
1.417526642809004e-06	3.866736e-03
1.419098071380433e-06	3.572670e-03
1.420669499951862e-06	3.293983e-03
1.422240928523290e-06	3.030674e-03
1.423812357094719e-06	2.782744e-03
1.425383785666148e-06	2.550192e-03
1.426955214237576e-06	2.333020e-03
1.428526642809005e-06	2.131225e-03
1.431383785666148e-06	1.812424e-03
1.434240928523291e-06	1.527746e-03
1.437098071380434e-06	1.277191e-03
1.439955214237577e-06	1.060760e-03
1.442812357094720e-06	8.784519e-04
1.445669499951863e-06	7.302674e-04
1.448526642809007e-06	6.162062e-04
1.451526642809007e-06	5.071129e-04
1.454526642809007e-06	4.168324e-04
1.457526642809007e-06	3.422956e-04
1.460526642809007e-06	2.808746e-04
1.462955214237579e-06	2.409863e-04
1.465383785666151e-06	2.053483e-04
1.467812357094722e-06	1.739603e-04
1.470240928523294e-06	1.468226e-04
1.472669499951865e-06	1.239349e-04
1.475098071380437e-06	1.052975e-04
1.477526642809009e-06	9.091014e-05
1.481098071380438e-06	7.324016e-05
1.484669499951866e-06	5.795784e-05
1.488240928523295e-06	4.506320e-05
1.491812357094724e-06	3.455622e-05
1.495383785666153e-06	2.643691e-05
1.498955214237582e-06	2.070527e-05
1.502526642809011e-06	1.736130e-05
1.510098071380440e-06	1.201866e-05
1.517669499951869e-06	7.666292e-06
1.525240928523298e-06	4.304191e-06
1.532812357094727e-06	1.932361e-06
1.540383785666156e-06	5.508000e-07
1.547955214237585e-06	1.595087e-07
1.555526642809015e-06	7.584870e-07
1.995526642809047e-06	2.484123e-07
1.999893034739532e-06	2.484123e-07
2.000000000000000e-06	2.484123e-07
