Freq.	V(out)
1.02329299228075e+01	(7.83566181573960e+01dB,-3.44278432446065e-01°)
1.04712854805090e+01	(7.83566107673944e+01dB,-3.52300903823120e-01°)
1.07151930523760e+01	(7.83566030291261e+01dB,-3.60510150962963e-01°)
1.09647819614318e+01	(7.83565949261793e+01dB,-3.68910525169753e-01°)
1.12201845430196e+01	(7.83565864413685e+01dB,-3.77506478989399e-01°)
1.14815362149688e+01	(7.83565775566987e+01dB,-3.86302568563467e-01°)
1.17489755493953e+01	(7.83565682533266e+01dB,-3.95303456037522e-01°)
1.20226443461741e+01	(7.83565585115216e+01dB,-4.04513912025150e-01°)
1.23026877081238e+01	(7.83565483106228e+01dB,-4.13938818128928e-01°)
1.25892541179416e+01	(7.83565376289961e+01dB,-4.23583169519624e-01°)
1.28824955169313e+01	(7.83565264439880e+01dB,-4.33452077574979e-01°)
1.31825673855640e+01	(7.83565147318775e+01dB,-4.43550772579395e-01°)
1.34896288259165e+01	(7.83565024678261e+01dB,-4.53884606485927e-01°)
1.38038426460288e+01	(7.83564896258249e+01dB,-4.64459055741994e-01°)
1.41253754462275e+01	(7.83564761786395e+01dB,-4.75279724180226e-01°)
1.44543977074592e+01	(7.83564620977524e+01dB,-4.86352345975958e-01°)
1.47910838816820e+01	(7.83564473533025e+01dB,-4.97682788672826e-01°)
1.51356124843620e+01	(7.83564319140216e+01dB,-5.09277056278044e-01°)
1.54881661891248e+01	(7.83564157471687e+01dB,-5.21141292428896e-01°)
1.58489319246111e+01	(7.83563988184600e+01dB,-5.33281783632057e-01°)
1.62181009735892e+01	(7.83563810919965e+01dB,-5.45704962577370e-01°)
1.65958690743755e+01	(7.83563625301881e+01dB,-5.58417411527745e-01°)
1.69824365246174e+01	(7.83563430936736e+01dB,-5.71425865786872e-01°)
1.73780082874937e+01	(7.83563227412376e+01dB,-5.84737217246488e-01°)
1.77827941003892e+01	(7.83563014297230e+01dB,-5.98358518014965e-01°)
1.81970085860998e+01	(7.83562791139399e+01dB,-6.12296984129013e-01°)
1.86208713666286e+01	(7.83562557465691e+01dB,-6.26559999350343e-01°)
1.90546071796324e+01	(7.83562312780629e+01dB,-6.41155119049161e-01°)
1.94984459975804e+01	(7.83562056565392e+01dB,-6.56090074176398e-01°)
1.99526231496887e+01	(7.83561788276723e+01dB,-6.71372775326632e-01°)
2.04173794466952e+01	(7.83561507345775e+01dB,-6.87011316893665e-01°)
2.08929613085403e+01	(7.83561213176907e+01dB,-7.03013981320802e-01°)
2.13796208950222e+01	(7.83560905146422e+01dB,-7.19389243447856e-01°)
2.18776162394954e+01	(7.83560582601250e+01dB,-7.36145774957000e-01°)
2.23872113856833e+01	(7.83560244857560e+01dB,-7.53292448919573e-01°)
2.29086765276776e+01	(7.83559891199314e+01dB,-7.70838344446030e-01°)
2.34422881531991e+01	(7.83559520876756e+01dB,-7.88792751441224e-01°)
2.39883291901948e+01	(7.83559133104818e+01dB,-8.07165175467267e-01°)
2.45470891568502e+01	(7.83558727061462e+01dB,-8.25965342716256e-01°)
2.51188643150957e+01	(7.83558301885942e+01dB,-8.45203205095173e-01°)
2.57039578276885e+01	(7.83557856676977e+01dB,-8.64888945425313e-01°)
2.63026799189537e+01	(7.83557390490852e+01dB,-8.85032982758631e-01°)
2.69153480392690e+01	(7.83556902339416e+01dB,-9.05645977813440e-01°)
